user_id,/,/about,/features,/features/desktop,/features/mobile,/features/web,/pricing,/signup,/tutorial/end,/tutorial/intro,/tutorial/step-four,/tutorial/step-one,/tutorial/step-three,/tutorial/step-two
1,13,0,18,0,0,0,0,11,0,7,0,2,6,18
2,14,0,0,0,0,11,18,2,5,20,13,16,4,1
3,16,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,1,16,12,10,6,11,1
5,16,0,0,0,3,0,0,12,13,4,20,6,11,10
6,19,0,0,6,8,19,0,2,0,5,0,13,18,20
7,2,0,0,0,0,2,0,0,0,0,0,0,0,0
8,3,0,0,0,0,0,0,13,0,12,0,0,0,0
9,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,4,0,0,0,8,0,0,9,0,0,0,0,0,0
11,13,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2,0,0,0,1,0,0,2,0,0,0,0,0,0
13,8,0,12,13,6,2,20,14,0,10,0,14,0,0
14,2,0,0,2,0,1,0,2,0,0,0,0,0,0
15,3,0,0,0,0,0,0,18,0,4,0,0,0,0
16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
17,10,0,0,0,14,9,0,14,20,19,10,7,8,2
18,17,0,8,0,0,0,0,20,5,19,5,5,13,3
19,15,0,15,0,0,0,19,6,0,0,0,0,0,0
20,2,0,0,0,0,18,1,2,0,19,0,0,0,0
21,20,0,0,0,1,0,0,10,9,17,17,5,2,5
22,17,0,0,0,0,0,0,0,0,0,0,0,0,0
23,9,0,4,0,0,9,0,3,2,12,4,14,16,6
24,6,0,0,16,0,0,0,4,9,9,4,10,3,3
25,8,0,0,5,17,3,0,3,9,16,15,4,18,1
26,6,0,0,0,0,0,0,1,8,11,8,4,12,13
27,20,0,15,5,0,0,0,0,0,0,0,0,0,0
28,12,0,0,0,0,0,0,0,0,0,0,0,0,0
29,5,0,0,0,0,5,8,15,0,7,0,3,2,12
30,17,0,0,0,0,0,0,1,0,0,0,0,0,0
31,16,0,10,11,13,0,0,20,20,14,9,15,6,13
32,12,0,0,9,0,0,0,18,0,10,0,3,0,0
33,13,0,13,0,0,0,0,2,0,5,0,0,0,0
34,19,0,0,0,0,0,0,7,5,11,1,4,15,2
35,2,0,0,0,0,0,0,14,0,0,0,0,0,0
36,2,2,0,0,1,2,0,1,0,0,0,0,0,0
37,13,0,0,20,0,0,0,8,14,6,16,12,17,6
38,7,0,0,12,0,9,0,6,7,6,5,11,7,17
39,2,2,0,2,2,2,0,2,0,0,0,0,0,0
40,7,0,0,0,0,12,0,13,1,1,14,9,18,3
41,14,0,0,8,16,0,0,17,0,0,0,0,0,0
42,9,0,20,16,0,2,0,10,0,0,0,0,0,0
43,1,0,0,0,1,1,1,1,0,0,0,0,0,0
44,19,0,0,0,0,0,0,0,0,0,0,0,0,0
45,11,0,0,0,0,0,0,4,0,0,0,0,0,0
46,11,0,0,0,0,0,0,0,0,0,0,0,0,0
47,14,0,17,0,17,14,0,1,11,13,17,19,14,14
48,12,0,0,0,0,0,0,0,0,0,0,0,0,0
49,9,0,0,0,0,0,0,0,0,0,0,0,0,0
50,11,0,0,0,0,0,0,0,0,0,0,0,0,0
51,10,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2,0,1,1,1,0,0,1,0,0,0,0,0,0
53,20,0,0,0,0,0,0,0,0,0,0,0,0,0
54,9,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1,0,0,2,0,0,0,2,0,0,0,0,0,0
56,8,0,11,0,0,15,0,1,0,6,19,15,12,8
57,11,0,19,0,0,0,0,5,4,10,3,6,14,17
58,1,0,0,0,2,1,0,1,0,0,0,0,0,0
59,5,0,0,0,0,6,6,6,20,15,10,14,5,14
60,2,0,0,0,0,0,20,17,0,0,0,0,0,0
61,1,0,0,0,0,0,0,3,0,0,0,0,0,0
62,1,0,0,2,0,0,0,1,0,0,0,0,0,0
63,14,0,2,8,0,0,0,10,9,4,7,4,7,19
64,10,0,0,2,0,0,0,5,16,19,14,20,12,7
65,2,0,0,0,0,10,0,11,9,5,19,1,9,5
66,2,0,19,0,20,16,0,5,0,18,0,5,0,12
67,20,0,0,0,0,0,0,0,0,0,0,0,0,0
68,10,0,0,0,0,0,0,0,0,0,0,0,0,0
69,8,0,10,6,18,0,0,5,0,20,0,14,15,7
70,10,0,0,12,15,9,1,4,8,11,3,18,7,12
71,17,0,0,0,0,0,2,11,0,7,0,12,15,9
72,19,0,0,0,0,0,0,0,0,0,0,0,0,0
73,6,0,0,0,6,0,0,18,12,8,5,10,20,10
74,3,0,1,0,15,0,0,3,0,2,0,17,0,11
75,10,0,0,20,0,0,0,7,0,0,0,0,0,0
76,3,0,0,0,0,0,0,15,17,13,3,16,10,1
77,15,0,5,0,0,0,0,6,0,3,0,9,0,0
78,16,0,0,0,20,10,0,13,20,2,3,16,14,3
79,6,0,0,0,0,0,0,0,0,0,0,0,0,0
80,12,0,0,1,0,0,0,9,0,18,0,0,0,0
81,12,0,0,10,8,16,0,9,8,5,10,8,3,19
82,16,0,0,0,0,16,3,11,0,17,0,20,6,5
83,9,0,0,0,0,0,0,0,0,0,0,0,0,0
84,12,0,18,0,0,0,0,0,0,0,0,0,0,0
85,12,0,0,0,0,0,0,0,0,0,0,0,0,0
86,9,0,0,0,0,0,0,0,0,0,0,0,0,0
87,10,0,0,0,0,0,0,0,0,0,0,0,0,0
88,6,0,0,0,4,0,15,6,0,11,0,0,0,0
89,14,0,0,0,0,0,0,0,0,0,0,0,0,0
90,5,0,19,10,0,17,0,8,0,9,0,5,0,19
91,20,0,0,18,0,0,0,15,0,18,0,20,0,0
92,1,0,0,0,17,0,0,4,0,0,0,0,0,0
93,18,0,11,0,0,1,0,11,0,0,0,0,0,0
94,1,0,1,0,0,1,0,2,0,0,0,0,0,0
95,18,0,0,0,0,0,0,0,0,0,0,0,0,0
96,2,0,0,0,0,5,0,18,0,4,0,0,0,0
97,11,0,0,11,0,0,0,4,9,15,16,18,18,16
98,20,0,0,0,15,16,0,14,15,13,10,6,13,1
99,1,0,0,0,0,0,0,0,0,0,0,0,0,0
100,12,0,0,0,3,0,0,10,0,0,0,0,0,0
101,19,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1,0,0,0,12,0,0,13,0,0,0,0,0,0
103,14,0,0,0,0,11,0,0,0,0,0,0,0,0
104,8,0,13,0,0,16,0,3,15,18,11,5,18,3
105,6,0,0,0,0,0,0,10,0,12,0,0,0,0
106,3,0,0,0,0,0,0,0,0,0,0,0,0,0
107,18,0,0,0,0,0,0,0,0,0,0,0,0,0
108,17,0,0,0,0,0,0,10,10,11,9,4,7,13
109,10,0,0,17,0,0,0,14,0,20,10,9,1,14
110,2,19,0,4,9,2,0,15,0,11,12,13,8,7
111,2,2,0,2,0,0,0,1,0,0,0,0,0,0
112,2,0,0,0,0,0,0,0,0,0,0,0,0,0
113,17,0,0,0,0,17,0,16,0,5,0,13,13,20
114,5,0,0,0,0,0,0,0,0,0,0,0,0,0
115,1,0,0,0,4,0,0,2,0,0,0,0,0,0
116,14,0,0,0,6,0,0,3,0,12,0,19,6,19
117,2,0,0,0,2,0,0,2,0,0,0,0,0,0
118,9,0,0,0,0,0,0,0,0,0,0,0,0,0
119,19,0,20,0,18,0,0,13,0,11,0,2,14,9
120,11,0,0,0,0,0,0,10,0,15,0,5,13,2
121,1,0,0,0,0,0,0,0,0,0,0,0,0,0
122,4,0,0,14,0,0,0,8,19,10,8,18,14,20
123,10,0,0,12,0,0,0,18,1,3,4,5,4,14
124,14,0,0,0,16,18,0,1,0,0,0,0,0,0
125,14,0,0,0,0,0,0,1,0,0,0,0,0,0
126,3,0,0,0,0,0,0,0,0,0,0,0,0,0
127,11,11,0,0,14,0,0,3,11,17,13,12,4,16
128,16,0,0,0,0,0,0,0,0,0,0,0,0,0
129,16,0,0,0,0,0,0,0,0,0,0,0,0,0
130,19,0,0,0,0,16,0,4,3,5,13,14,19,11
131,1,0,0,0,0,0,0,1,0,0,0,0,0,0
132,13,0,0,0,0,1,14,15,0,0,0,0,0,0
133,11,0,0,0,18,0,0,20,0,16,0,0,0,0
134,8,0,0,0,0,0,0,0,0,0,0,0,0,0
135,9,0,6,0,17,0,0,15,1,1,18,4,1,9
136,8,0,0,0,0,8,0,8,2,4,5,2,8,4
137,5,0,0,0,0,0,0,4,1,16,19,12,17,5
138,2,0,0,0,0,0,0,14,0,0,0,0,0,0
139,12,0,0,0,4,9,0,6,20,6,4,18,13,9
140,20,0,0,0,0,0,0,12,0,8,0,7,0,0
141,8,0,0,0,0,0,0,0,0,0,0,0,0,0
142,12,0,0,0,0,0,0,0,0,0,0,0,0,0
143,7,14,0,4,20,0,0,5,0,0,0,0,0,0
144,14,0,0,0,6,0,0,0,0,0,0,0,0,0
145,12,0,0,0,0,9,0,16,0,0,0,0,0,0
146,9,0,0,0,12,0,0,10,2,3,11,19,19,16
147,7,0,0,0,0,0,0,8,0,5,1,12,11,11
148,12,0,0,13,6,17,0,0,0,0,0,0,0,0
149,18,0,0,0,0,0,20,13,13,11,14,18,18,7
150,13,0,3,12,0,0,0,18,0,0,0,0,0,0
151,1,0,1,2,0,0,2,2,0,0,0,0,0,0
152,20,0,0,0,12,0,0,0,0,0,0,0,0,0
153,9,0,0,0,0,0,0,12,0,1,0,3,0,4
154,12,0,0,0,0,0,0,0,0,0,0,0,0,0
155,1,0,0,0,0,0,0,10,19,15,18,2,9,5
156,2,0,0,0,1,0,0,0,0,0,0,0,0,0
157,20,9,16,0,0,0,0,11,0,9,0,0,0,0
158,2,0,20,0,0,4,0,8,16,6,4,19,13,10
159,1,0,0,0,0,0,0,0,0,0,0,0,0,0
160,1,0,0,0,0,0,0,0,0,0,0,0,0,0
161,8,0,0,0,0,15,0,1,0,0,0,0,0,0
162,5,0,0,0,0,0,0,0,0,0,0,0,0,0
163,15,0,0,0,0,0,0,10,9,15,4,16,1,8
164,2,0,0,0,0,2,0,0,0,0,0,0,0,0
165,4,0,0,0,0,0,0,2,0,0,0,0,0,0
166,2,0,0,0,0,0,0,6,0,0,0,0,0,0
167,6,0,0,0,0,0,0,0,0,0,0,0,0,0
168,17,0,0,0,0,0,0,11,1,4,12,17,12,17
169,1,0,0,0,0,0,0,2,0,0,0,0,0,0
170,15,0,0,0,0,0,0,0,0,0,0,0,0,0
171,1,0,0,0,0,0,0,1,0,0,0,0,0,0
172,12,0,0,0,0,0,0,12,0,0,0,0,0,0
173,5,0,0,0,0,0,0,0,0,0,0,0,0,0
174,15,0,0,0,0,0,0,0,0,0,0,0,0,0
175,18,0,0,0,19,0,9,19,0,2,0,0,0,0
176,15,0,0,0,9,3,0,20,7,10,11,1,10,15
177,19,0,0,0,7,0,0,16,0,5,0,0,0,0
178,12,0,9,0,16,0,0,1,0,18,0,8,0,19
179,7,0,0,0,0,0,0,13,8,3,1,6,8,9
180,17,0,0,0,3,0,0,6,0,0,0,0,0,0
181,15,0,0,19,5,0,0,14,0,16,3,13,3,11
182,11,0,0,19,0,0,0,20,18,18,7,8,13,3
183,8,0,0,0,0,7,12,18,19,9,13,13,13,3
184,15,0,0,0,0,0,0,19,6,5,8,5,14,18
185,3,0,0,0,0,0,0,18,0,0,0,0,0,0
186,15,0,18,0,0,0,0,9,1,10,7,18,12,20
187,2,0,0,0,0,0,17,15,4,18,7,7,9,15
188,17,0,0,0,0,0,0,0,0,0,0,0,0,0
189,10,0,0,2,0,12,0,12,5,2,16,8,12,6
190,16,0,9,0,0,0,0,0,0,0,0,0,0,0
191,2,0,0,0,7,9,0,5,0,20,0,19,10,8
192,20,0,0,0,0,0,0,10,0,13,0,0,0,0
193,2,0,0,0,0,0,0,0,0,0,0,0,0,0
194,12,0,0,0,1,0,0,11,0,0,0,0,0,0
195,12,0,12,0,0,0,0,0,0,0,0,0,0,0
196,12,0,0,0,2,0,0,16,4,5,14,11,6,6
197,19,0,0,0,0,13,0,20,4,7,12,15,17,1
198,12,0,0,0,10,0,0,1,0,14,0,13,0,13
